number	hierarchy	ko_number	description
KO-1.5.5	KO-a1.a5.a5	00290	Valine, leucine and isoleucine biosynthesis
KO-1.5.6	KO-a1.a5.a6	00300	Lysine biosynthesis
KO-1.5.7	KO-a1.a5.a7	00310	Lysine degradation
KO-1.5.8	KO-a1.a5.a8	00220	Arginine biosynthesis
KO-1.5.9	KO-a1.a5.a9	00330	Arginine and proline metabolism
KO-1.5.10	KO-a1.a5.b0	00340	Histidine metabolism
KO-1.5.11	KO-a1.a5.b1	00350	Tyrosine metabolism
KO-1.5.12	KO-a1.a5.b2	00360	Phenylalanine metabolism
KO-1.5.13	KO-a1.a5.b3	00380	Tryptophan metabolism
KO-1.5.14	KO-a1.a5.b4	00400	Phenylalanine, tyrosine and tryptophan biosynthesis
KO-1.6	KO-a1.a6	09106	Metabolism of other amino acids
KO-1.6.1	KO-a1.a6.a1	00410	beta-Alanine metabolism
KO-1.6.2	KO-a1.a6.a2	00430	Taurine and hypotaurine metabolism
KO-1.6.3	KO-a1.a6.a3	00440	Phosphonate and phosphinate metabolism
KO-1.6.4	KO-a1.a6.a4	00450	Selenocompound metabolism
KO-1.6.5	KO-a1.a6.a5	00460	Cyanoamino acid metabolism
KO-1.6.6	KO-a1.a6.a6	00470	D-Amino acid metabolism
KO-1.6.7	KO-a1.a6.a7	00480	Glutathione metabolism
KO-1.7	KO-a1.a7	09107	Glycan biosynthesis and metabolism
KO-1.7.1	KO-a1.a7.a1	00510	N-Glycan biosynthesis
KO-1.7.2	KO-a1.a7.a2	00513	Various types of N-glycan biosynthesis
KO-1.7.3	KO-a1.a7.a3	00512	Mucin type O-glycan biosynthesis
KO-1.7.4	KO-a1.a7.a4	00515	Mannose type O-glycan biosynthesis
KO-1.7.5	KO-a1.a7.a5	00514	Other types of O-glycan biosynthesis
KO-1.7.6	KO-a1.a7.a6	00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate
KO-1.7.7	KO-a1.a7.a7	00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin
KO-1.7.8	KO-a1.a7.a8	00533	Glycosaminoglycan biosynthesis - keratan sulfate
KO-1.7.9	KO-a1.a7.a9	00531	Glycosaminoglycan degradation
KO-1.7.10	KO-a1.a7.b0	00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
KO-1.7.11	KO-a1.a7.b1	00601	Glycosphingolipid biosynthesis - lacto and neolacto series
KO-1.7.12	KO-a1.a7.b2	00603	Glycosphingolipid biosynthesis - globo and isoglobo series
KO-1.7.13	KO-a1.a7.b3	00604	Glycosphingolipid biosynthesis - ganglio series
KO-1.7.14	KO-a1.a7.b4	00540	Lipopolysaccharide biosynthesis
KO-1.7.15	KO-a1.a7.b5	00542	O-Antigen repeat unit biosynthesis
KO-1.7.16	KO-a1.a7.b6	00541	O-Antigen nucleotide sugar biosynthesis
KO-1.7.17	KO-a1.a7.b7	00550	Peptidoglycan biosynthesis
KO-1.7.18	KO-a1.a7.b8	00511	Other glycan degradation
KO-1.7.19	KO-a1.a7.b9	00571	Lipoarabinomannan (LAM) biosynthesis
KO-1.7.20	KO-a1.a7.c0	00572	Arabinogalactan biosynthesis - Mycobacterium
KO-1.8	KO-a1.a8	09108	Metabolism of cofactors and vitamins
KO-1.8.1	KO-a1.a8.a1	00730	Thiamine metabolism
KO-1.8.2	KO-a1.a8.a2	00740	Riboflavin metabolism
KO-1.8.3	KO-a1.a8.a3	00750	Vitamin B6 metabolism
KO-1.8.4	KO-a1.a8.a4	00760	Nicotinate and nicotinamide metabolism
KO-1.8.5	KO-a1.a8.a5	00770	Pantothenate and CoA biosynthesis
KO-1.8.6	KO-a1.a8.a6	00780	Biotin metabolism
KO-1.8.7	KO-a1.a8.a7	00785	Lipoic acid metabolism
KO-1.8.8	KO-a1.a8.a8	00790	Folate biosynthesis
KO-1.8.9	KO-a1.a8.a9	00670	One carbon pool by folate
KO-1.8.10	KO-a1.a8.b0	00830	Retinol metabolism
KO-1.8.11	KO-a1.a8.b1	00860	Porphyrin and chlorophyll metabolism
KO-1.8.12	KO-a1.a8.b2	00130	Ubiquinone and other terpenoid-quinone biosynthesis
KO-1.9	KO-a1.a9	09109	Metabolism of terpenoids and polyketides
KO-1.9.1	KO-a1.a9.a1	00900	Terpenoid backbone biosynthesis
KO-1.9.2	KO-a1.a9.a2	00902	Monoterpenoid biosynthesis
KO-1.9.3	KO-a1.a9.a3	00909	Sesquiterpenoid and triterpenoid biosynthesis
KO-1.9.4	KO-a1.a9.a4	00904	Diterpenoid biosynthesis
KO-1.9.5	KO-a1.a9.a5	00906	Carotenoid biosynthesis
KO-1.9.6	KO-a1.a9.a6	00905	Brassinosteroid biosynthesis
KO-1.9.7	KO-a1.a9.a7	00981	Insect hormone biosynthesis
KO-1.9.8	KO-a1.a9.a8	00908	Zeatin biosynthesis
KO-1.9.9	KO-a1.a9.a9	00903	Limonene and pinene degradation
KO-1.9.10	KO-a1.a9.b0	00281	Geraniol degradation
KO-1.9.11	KO-a1.a9.b1	01052	Type I polyketide structures
KO-1.9.12	KO-a1.a9.b2	00522	Biosynthesis of 12-, 14- and 16-membered macrolides
KO-1.9.13	KO-a1.a9.b3	01051	Biosynthesis of ansamycins
KO-1.9.14	KO-a1.a9.b4	01059	Biosynthesis of enediyne antibiotics
KO-1.9.15	KO-a1.a9.b5	01056	Biosynthesis of type II polyketide backbone
KO-1.9.16	KO-a1.a9.b6	01057	Biosynthesis of type II polyketide products
KO-1.9.17	KO-a1.a9.b7	00253	Tetracycline biosynthesis
KO-1.9.18	KO-a1.a9.b8	00523	Polyketide sugar unit biosynthesis
KO-1.9.19	KO-a1.a9.b9	01054	Nonribosomal peptide structures
KO-1.9.20	KO-a1.a9.c0	01053	Biosynthesis of siderophore group nonribosomal peptides
KO-1.9.21	KO-a1.a9.c1	01055	Biosynthesis of vancomycin group antibiotics
KO-1.10	KO-a1.b0	09110	Biosynthesis of other secondary metabolites
KO-1.10.1	KO-a1.b0.a1	00940	Phenylpropanoid biosynthesis
KO-1.10.2	KO-a1.b0.a2	00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis
KO-1.10.3	KO-a1.b0.a3	00941	Flavonoid biosynthesis
KO-1.10.4	KO-a1.b0.a4	00944	Flavone and flavonol biosynthesis
KO-1.10.5	KO-a1.b0.a5	00942	Anthocyanin biosynthesis
KO-1.10.6	KO-a1.b0.a6	00943	Isoflavonoid biosynthesis
KO-1.10.7	KO-a1.b0.a7	00901	Indole alkaloid biosynthesis
KO-1.10.8	KO-a1.b0.a8	00403	Indole diterpene alkaloid biosynthesis
KO-1.10.9	KO-a1.b0.a9	00950	Isoquinoline alkaloid biosynthesis
KO-1.10.10	KO-a1.b0.b0	00960	Tropane, piperidine and pyridine alkaloid biosynthesis
KO-1.10.11	KO-a1.b0.b1	01058	Acridone alkaloid biosynthesis
KO-1.10.12	KO-a1.b0.b2	00232	Caffeine metabolism
KO-1.10.13	KO-a1.b0.b3	00965	Betalain biosynthesis
KO-1.10.14	KO-a1.b0.b4	00966	Glucosinolate biosynthesis
KO-1.10.15	KO-a1.b0.b5	00402	Benzoxazinoid biosynthesis
KO-1.10.16	KO-a1.b0.b6	00311	Penicillin and cephalosporin biosynthesis
KO-1.10.17	KO-a1.b0.b7	00332	Carbapenem biosynthesis
KO-1.10.18	KO-a1.b0.b8	00261	Monobactam biosynthesis
KO-1.10.19	KO-a1.b0.b9	00331	Clavulanic acid biosynthesis
KO-1.10.20	KO-a1.b0.c0	00521	Streptomycin biosynthesis
KO-1.10.21	KO-a1.b0.c1	00524	Neomycin, kanamycin and gentamicin biosynthesis
KO-1.10.22	KO-a1.b0.c2	00525	Acarbose and validamycin biosynthesis
KO-1.10.23	KO-a1.b0.c3	00401	Novobiocin biosynthesis
KO-1.10.24	KO-a1.b0.c4	00404	Staurosporine biosynthesis
KO-1.10.25	KO-a1.b0.c5	00405	Phenazine biosynthesis
KO-1.10.26	KO-a1.b0.c6	00333	Prodigiosin biosynthesis
KO-1.10.27	KO-a1.b0.c7	00254	Aflatoxin biosynthesis
KO-1.10.28	KO-a1.b0.c8	00999	Biosynthesis of various secondary metabolites - part 1
KO-1.10.29	KO-a1.b0.c9	00998	Biosynthesis of various secondary metabolites - part 2
KO-1.10.30	KO-a1.b0.d0	00997	Biosynthesis of various secondary metabolites - part 3
KO-1.11	KO-a1.b1	09111	Xenobiotics biodegradation and metabolism
KO-1.11.1	KO-a1.b1.a1	00362	Benzoate degradation
KO-1.11.2	KO-a1.b1.a2	00627	Aminobenzoate degradation
KO-1.11.3	KO-a1.b1.a3	00364	Fluorobenzoate degradation
KO-1.11.4	KO-a1.b1.a4	00625	Chloroalkane and chloroalkene degradation
KO-1.11.5	KO-a1.b1.a5	00361	Chlorocyclohexane and chlorobenzene degradation
KO-1.11.6	KO-a1.b1.a6	00623	Toluene degradation
KO-1.11.7	KO-a1.b1.a7	00622	Xylene degradation
KO-1.11.8	KO-a1.b1.a8	00633	Nitrotoluene degradation
KO-1.11.9	KO-a1.b1.a9	00642	Ethylbenzene degradation
KO-1.11.10	KO-a1.b1.b0	00643	Styrene degradation
KO-1.11.11	KO-a1.b1.b1	00791	Atrazine degradation
KO-1.11.12	KO-a1.b1.b2	00930	Caprolactam degradation
KO-1.11.13	KO-a1.b1.b3	00363	Bisphenol degradation
KO-1.11.14	KO-a1.b1.b4	00621	Dioxin degradation
KO-1.11.15	KO-a1.b1.b5	00626	Naphthalene degradation
KO-1.11.16	KO-a1.b1.b6	00624	Polycyclic aromatic hydrocarbon degradation
KO-1.11.17	KO-a1.b1.b7	00365	Furfural degradation
KO-1.11.18	KO-a1.b1.b8	00984	Steroid degradation
KO-1.11.19	KO-a1.b1.b9	00980	Metabolism of xenobiotics by cytochrome P450
KO-1.11.20	KO-a1.b1.c0	00982	Drug metabolism - cytochrome P450
KO-1.11.21	KO-a1.b1.c1	00983	Drug metabolism - other enzymes
KO-1.12	KO-a1.b2	09112	Not included in regular maps
KO-1.12.1	KO-a1.b2.a1	09113	Global maps only
KO-2	KO-a2	09120	Genetic Information Processing
KO-2.1	KO-a2.a1	09121	Transcription
KO-2.1.1	KO-a2.a1.a1	03020	RNA polymerase
KO-2.1.2	KO-a2.a1.a2	03022	Basal transcription factors
KO-2.1.3	KO-a2.a1.a3	03040	Spliceosome
KO-2.2	KO-a2.a2	09122	Translation
KO-2.2.1	KO-a2.a2.a1	03010	Ribosome
KO-2.2.2	KO-a2.a2.a2	00970	Aminoacyl-tRNA biosynthesis
KO-2.2.3	KO-a2.a2.a3	03013	Nucleocytoplasmic transport
KO-2.2.4	KO-a2.a2.a4	03015	mRNA surveillance pathway
KO-2.2.5	KO-a2.a2.a5	03008	Ribosome biogenesis in eukaryotes
KO-2.3	KO-a2.a3	09123	Folding, sorting and degradation
KO-2.3.1	KO-a2.a3.a1	03060	Protein export
KO-2.3.2	KO-a2.a3.a2	04141	Protein processing in endoplasmic reticulum
KO-2.3.3	KO-a2.a3.a3	04130	SNARE interactions in vesicular transport
KO-2.3.4	KO-a2.a3.a4	04120	Ubiquitin mediated proteolysis
KO-2.3.5	KO-a2.a3.a5	04122	Sulfur relay system
KO-2.3.6	KO-a2.a3.a6	03050	Proteasome
KO-2.3.7	KO-a2.a3.a7	03018	RNA degradation
KO-2.4	KO-a2.a4	09124	Replication and repair
KO-2.4.1	KO-a2.a4.a1	03030	DNA replication
KO-2.4.2	KO-a2.a4.a2	03410	Base excision repair
KO-2.4.3	KO-a2.a4.a3	03420	Nucleotide excision repair
KO-2.4.4	KO-a2.a4.a4	03430	Mismatch repair
KO-2.4.5	KO-a2.a4.a5	03440	Homologous recombination
KO-2.4.6	KO-a2.a4.a6	03450	Non-homologous end-joining
KO-2.4.7	KO-a2.a4.a7	03460	Fanconi anemia pathway
KO-2.5	KO-a2.a5	09125	Information processing in viruses
KO-2.5.1	KO-a2.a5.a1	03230	Viral genome structure
KO-3	KO-a3	09130	Environmental Information Processing
KO-3.1	KO-a3.a1	09131	Membrane transport
KO-3.1.1	KO-a3.a1.a1	02010	ABC transporters
KO-3.1.2	KO-a3.a1.a2	02060	Phosphotransferase system (PTS)
KO-3.1.3	KO-a3.a1.a3	03070	Bacterial secretion system
KO-3.2	KO-a3.a2	09132	Signal transduction
KO-3.2.1	KO-a3.a2.a1	02020	Two-component system
KO-3.2.2	KO-a3.a2.a2	04010	MAPK signaling pathway
KO-3.2.3	KO-a3.a2.a3	04013	MAPK signaling pathway - fly
KO-3.2.4	KO-a3.a2.a4	04016	MAPK signaling pathway - plant
KO-3.2.5	KO-a3.a2.a5	04011	MAPK signaling pathway - yeast
KO-3.2.6	KO-a3.a2.a6	04012	ErbB signaling pathway
KO-3.2.7	KO-a3.a2.a7	04014	Ras signaling pathway
KO-3.2.8	KO-a3.a2.a8	04015	Rap1 signaling pathway
KO-3.2.9	KO-a3.a2.a9	04310	Wnt signaling pathway
KO-3.2.10	KO-a3.a2.b0	04330	Notch signaling pathway
KO-3.2.11	KO-a3.a2.b1	04340	Hedgehog signaling pathway
KO-3.2.12	KO-a3.a2.b2	04341	Hedgehog signaling pathway - fly
KO-3.2.13	KO-a3.a2.b3	04350	TGF-beta signaling pathway
KO-3.2.14	KO-a3.a2.b4	04390	Hippo signaling pathway
KO-3.2.15	KO-a3.a2.b5	04391	Hippo signaling pathway - fly
KO-3.2.16	KO-a3.a2.b6	04392	Hippo signaling pathway - multiple species
KO-3.2.17	KO-a3.a2.b7	04370	VEGF signaling pathway
KO-3.2.18	KO-a3.a2.b8	04371	Apelin signaling pathway
KO-3.2.19	KO-a3.a2.b9	04630	JAK-STAT signaling pathway
KO-3.2.20	KO-a3.a2.c0	04064	NF-kappa B signaling pathway
KO-3.2.21	KO-a3.a2.c1	04668	TNF signaling pathway
KO-3.2.22	KO-a3.a2.c2	04066	HIF-1 signaling pathway
KO-3.2.23	KO-a3.a2.c3	04068	FoxO signaling pathway
KO-3.2.24	KO-a3.a2.c4	04020	Calcium signaling pathway
KO-3.2.25	KO-a3.a2.c5	04070	Phosphatidylinositol signaling system
KO-3.2.26	KO-a3.a2.c6	04072	Phospholipase D signaling pathway
KO-3.2.27	KO-a3.a2.c7	04071	Sphingolipid signaling pathway
KO-3.2.28	KO-a3.a2.c8	04024	cAMP signaling pathway
KO-3.2.29	KO-a3.a2.c9	04022	cGMP-PKG signaling pathway
KO-3.2.30	KO-a3.a2.d0	04151	PI3K-Akt signaling pathway
KO-3.2.31	KO-a3.a2.d1	04152	AMPK signaling pathway
KO-3.2.32	KO-a3.a2.d2	04150	mTOR signaling pathway
KO-3.2.33	KO-a3.a2.d3	04075	Plant hormone signal transduction
KO-3.3	KO-a3.a3	09133	Signaling molecules and interaction
KO-3.3.1	KO-a3.a3.a1	04080	Neuroactive ligand-receptor interaction
KO-3.3.2	KO-a3.a3.a2	04060	Cytokine-cytokine receptor interaction
KO-3.3.3	KO-a3.a3.a3	04061	Viral protein interaction with cytokine and cytokine receptor
KO-3.3.4	KO-a3.a3.a4	04512	ECM-receptor interaction
KO-3.3.5	KO-a3.a3.a5	04514	Cell adhesion molecules
KO-4	KO-a4	09140	Cellular Processes
KO-4.1	KO-a4.a1	09141	Transport and catabolism
KO-4.1.1	KO-a4.a1.a1	04144	Endocytosis
KO-4.1.2	KO-a4.a1.a2	04145	Phagosome
KO-4.1.3	KO-a4.a1.a3	04142	Lysosome
KO-4.1.4	KO-a4.a1.a4	04146	Peroxisome
KO-4.1.5	KO-a4.a1.a5	04140	Autophagy - animal
KO-4.1.6	KO-a4.a1.a6	04138	Autophagy - yeast
KO-4.1.7	KO-a4.a1.a7	04136	Autophagy - other
KO-4.1.8	KO-a4.a1.a8	04137	Mitophagy - animal
KO-4.1.9	KO-a4.a1.a9	04139	Mitophagy - yeast
KO-4.2	KO-a4.a2	09143	Cell growth and death
KO-4.2.1	KO-a4.a2.a1	04110	Cell cycle
KO-4.2.2	KO-a4.a2.a2	04111	Cell cycle - yeast
KO-4.2.3	KO-a4.a2.a3	04112	Cell cycle - Caulobacter
KO-4.2.4	KO-a4.a2.a4	04113	Meiosis - yeast
KO-4.2.5	KO-a4.a2.a5	04114	Oocyte meiosis
KO-4.2.6	KO-a4.a2.a6	04210	Apoptosis
KO-4.2.7	KO-a4.a2.a7	04214	Apoptosis - fly
KO-4.2.8	KO-a4.a2.a8	04215	Apoptosis - multiple species
KO-4.2.9	KO-a4.a2.a9	04216	Ferroptosis
KO-4.2.10	KO-a4.a2.b0	04217	Necroptosis
KO-4.2.11	KO-a4.a2.b1	04115	p53 signaling pathway
KO-4.2.12	KO-a4.a2.b2	04218	Cellular senescence
KO-4.3	KO-a4.a3	09144	Cellular community - eukaryotes
KO-4.3.1	KO-a4.a3.a1	04510	Focal adhesion
KO-4.3.2	KO-a4.a3.a2	04520	Adherens junction
KO-4.3.3	KO-a4.a3.a3	04530	Tight junction
KO-4.3.4	KO-a4.a3.a4	04540	Gap junction
KO-4.3.5	KO-a4.a3.a5	04550	Signaling pathways regulating pluripotency of stem cells
KO-4.4	KO-a4.a4	09145	Cellular community - prokaryotes
KO-4.4.1	KO-a4.a4.a1	02024	Quorum sensing
KO-4.4.2	KO-a4.a4.a2	05111	Biofilm formation - Vibrio cholerae
KO-4.4.3	KO-a4.a4.a3	02025	Biofilm formation - Pseudomonas aeruginosa
KO-4.4.4	KO-a4.a4.a4	02026	Biofilm formation - Escherichia coli
KO-4.5	KO-a4.a5	09142	Cell motility
KO-4.5.1	KO-a4.a5.a1	02030	Bacterial chemotaxis
KO-4.5.2	KO-a4.a5.a2	02040	Flagellar assembly
KO-4.5.3	KO-a4.a5.a3	04810	Regulation of actin cytoskeleton
KO-5	KO-a5	09150	Organismal Systems
KO-5.1	KO-a5.a1	09151	Immune system
KO-5.1.1	KO-a5.a1.a1	04640	Hematopoietic cell lineage
KO-5.1.2	KO-a5.a1.a2	04610	Complement and coagulation cascades
KO-5.1.3	KO-a5.a1.a3	04611	Platelet activation
KO-5.1.4	KO-a5.a1.a4	04613	Neutrophil extracellular trap formation
KO-5.1.5	KO-a5.a1.a5	04620	Toll-like receptor signaling pathway
KO-5.1.6	KO-a5.a1.a6	04624	Toll and Imd signaling pathway
KO-5.1.7	KO-a5.a1.a7	04621	NOD-like receptor signaling pathway
KO-5.1.8	KO-a5.a1.a8	04622	RIG-I-like receptor signaling pathway
KO-5.1.9	KO-a5.a1.a9	04623	Cytosolic DNA-sensing pathway
KO-5.1.10	KO-a5.a1.b0	04625	C-type lectin receptor signaling pathway
KO-5.1.11	KO-a5.a1.b1	04650	Natural killer cell mediated cytotoxicity
KO-5.1.12	KO-a5.a1.b2	04612	Antigen processing and presentation
KO-5.1.13	KO-a5.a1.b3	04660	T cell receptor signaling pathway
KO-5.1.14	KO-a5.a1.b4	04658	Th1 and Th2 cell differentiation
KO-5.1.15	KO-a5.a1.b5	04659	Th17 cell differentiation
KO-5.1.16	KO-a5.a1.b6	04657	IL-17 signaling pathway
KO-5.1.17	KO-a5.a1.b7	04662	B cell receptor signaling pathway
KO-5.1.18	KO-a5.a1.b8	04664	Fc epsilon RI signaling pathway
KO-5.1.19	KO-a5.a1.b9	04666	Fc gamma R-mediated phagocytosis
KO-5.1.20	KO-a5.a1.c0	04670	Leukocyte transendothelial migration
KO-5.1.21	KO-a5.a1.c1	04672	Intestinal immune network for IgA production
KO-5.1.22	KO-a5.a1.c2	04062	Chemokine signaling pathway
KO-5.2	KO-a5.a2	09152	Endocrine system
KO-5.2.1	KO-a5.a2.a1	04911	Insulin secretion
KO-5.2.2	KO-a5.a2.a2	04910	Insulin signaling pathway
KO-5.2.3	KO-a5.a2.a3	04922	Glucagon signaling pathway
KO-5.2.4	KO-a5.a2.a4	04923	Regulation of lipolysis in adipocytes
KO-5.2.5	KO-a5.a2.a5	04920	Adipocytokine signaling pathway
KO-5.2.6	KO-a5.a2.a6	03320	PPAR signaling pathway
KO-5.2.7	KO-a5.a2.a7	04929	GnRH secretion
KO-5.2.8	KO-a5.a2.a8	04912	GnRH signaling pathway
KO-5.2.9	KO-a5.a2.a9	04913	Ovarian steroidogenesis
KO-5.2.10	KO-a5.a2.b0	04915	Estrogen signaling pathway
KO-5.2.11	KO-a5.a2.b1	04914	Progesterone-mediated oocyte maturation
KO-5.2.12	KO-a5.a2.b2	04917	Prolactin signaling pathway
KO-5.2.13	KO-a5.a2.b3	04921	Oxytocin signaling pathway
KO-5.2.14	KO-a5.a2.b4	04926	Relaxin signaling pathway
KO-5.2.15	KO-a5.a2.b5	04935	Growth hormone synthesis, secretion and action
KO-5.2.16	KO-a5.a2.b6	04918	Thyroid hormone synthesis
KO-5.2.17	KO-a5.a2.b7	04919	Thyroid hormone signaling pathway
KO-5.2.18	KO-a5.a2.b8	04928	Parathyroid hormone synthesis, secretion and action
KO-5.2.19	KO-a5.a2.b9	04916	Melanogenesis
KO-5.2.20	KO-a5.a2.c0	04924	Renin secretion
KO-5.2.21	KO-a5.a2.c1	04614	Renin-angiotensin system
KO-5.2.22	KO-a5.a2.c2	04925	Aldosterone synthesis and secretion
KO-5.2.23	KO-a5.a2.c3	04927	Cortisol synthesis and secretion
KO-5.3	KO-a5.a3	09153	Circulatory system
KO-5.3.1	KO-a5.a3.a1	04260	Cardiac muscle contraction
KO-5.3.2	KO-a5.a3.a2	04261	Adrenergic signaling in cardiomyocytes
KO-5.3.3	KO-a5.a3.a3	04270	Vascular smooth muscle contraction
KO-5.4	KO-a5.a4	09154	Digestive system
KO-5.4.1	KO-a5.a4.a1	04970	Salivary secretion
KO-5.4.2	KO-a5.a4.a2	04971	Gastric acid secretion
KO-5.4.3	KO-a5.a4.a3	04972	Pancreatic secretion
KO-5.4.4	KO-a5.a4.a4	04976	Bile secretion
KO-5.4.5	KO-a5.a4.a5	04973	Carbohydrate digestion and absorption
KO-5.4.6	KO-a5.a4.a6	04974	Protein digestion and absorption
KO-5.4.7	KO-a5.a4.a7	04975	Fat digestion and absorption
KO-5.4.8	KO-a5.a4.a8	04979	Cholesterol metabolism
KO-5.4.9	KO-a5.a4.a9	04977	Vitamin digestion and absorption
KO-5.4.10	KO-a5.a4.b0	04978	Mineral absorption
KO-5.5	KO-a5.a5	09155	Excretory system
KO-5.5.1	KO-a5.a5.a1	04962	Vasopressin-regulated water reabsorption
KO-5.5.2	KO-a5.a5.a2	04960	Aldosterone-regulated sodium reabsorption
KO-5.5.3	KO-a5.a5.a3	04961	Endocrine and other factor-regulated calcium reabsorption
KO-5.5.4	KO-a5.a5.a4	04964	Proximal tubule bicarbonate reclamation
KO-5.5.5	KO-a5.a5.a5	04966	Collecting duct acid secretion
KO-5.6	KO-a5.a6	09156	Nervous system
KO-5.6.1	KO-a5.a6.a1	04724	Glutamatergic synapse
KO-5.6.2	KO-a5.a6.a2	04727	GABAergic synapse
KO-5.6.3	KO-a5.a6.a3	04725	Cholinergic synapse
KO-5.6.4	KO-a5.a6.a4	04728	Dopaminergic synapse
KO-5.6.5	KO-a5.a6.a5	04726	Serotonergic synapse
KO-5.6.6	KO-a5.a6.a6	04720	Long-term potentiation
KO-5.6.7	KO-a5.a6.a7	04730	Long-term depression
KO-5.6.8	KO-a5.a6.a8	04723	Retrograde endocannabinoid signaling
KO-5.6.9	KO-a5.a6.a9	04721	Synaptic vesicle cycle
KO-5.6.10	KO-a5.a6.b0	04722	Neurotrophin signaling pathway
KO-5.7	KO-a5.a7	09157	Sensory system
KO-5.7.1	KO-a5.a7.a1	04744	Phototransduction
KO-5.7.2	KO-a5.a7.a2	04745	Phototransduction - fly
KO-5.7.3	KO-a5.a7.a3	04740	Olfactory transduction
KO-5.7.4	KO-a5.a7.a4	04742	Taste transduction
KO-5.7.5	KO-a5.a7.a5	04750	Inflammatory mediator regulation of TRP channels
KO-5.8	KO-a5.a8	09158	Development and regeneration
KO-5.8.1	KO-a5.a8.a1	04320	Dorso-ventral axis formation
KO-5.8.2	KO-a5.a8.a2	04360	Axon guidance
KO-5.8.3	KO-a5.a8.a3	04361	Axon regeneration
